"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1981-12","Dec-1981","PC","Percentage","0","Units",,,6.0283287,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-01","Jan-1982","PC","Percentage","0","Units",,,5.9838117,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-02","Feb-1982","PC","Percentage","0","Units",,,6.3092193,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-03","Mar-1982","PC","Percentage","0","Units",,,6.3238363,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-04","Apr-1982","PC","Percentage","0","Units",,,6.3346808,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-05","May-1982","PC","Percentage","0","Units",,,6.5937078,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-06","Jun-1982","PC","Percentage","0","Units",,,6.7677316,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-07","Jul-1982","PC","Percentage","0","Units",,,6.8845523,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-08","Aug-1982","PC","Percentage","0","Units",,,7.012533,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-09","Sep-1982","PC","Percentage","0","Units",,,7.4311665,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-10","Oct-1982","PC","Percentage","0","Units",,,8.2960586,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-11","Nov-1982","PC","Percentage","0","Units",,,8.6806245,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1982-12","Dec-1982","PC","Percentage","0","Units",,,9.4034422,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-01","Jan-1983","PC","Percentage","0","Units",,,9.3017902,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-02","Feb-1983","PC","Percentage","0","Units",,,9.6597131,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-03","Mar-1983","PC","Percentage","0","Units",,,9.9522663,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-04","Apr-1983","PC","Percentage","0","Units",,,10.1533596,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-05","May-1983","PC","Percentage","0","Units",,,10.32411,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-06","Jun-1983","PC","Percentage","0","Units",,,10.2038751,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-07","Jul-1983","PC","Percentage","0","Units",,,10.5084486,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-08","Aug-1983","PC","Percentage","0","Units",,,10.2202905,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-09","Sep-1983","PC","Percentage","0","Units",,,10.3394937,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-10","Oct-1983","PC","Percentage","0","Units",,,10.0088286,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-11","Nov-1983","PC","Percentage","0","Units",,,9.6553945,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1983-12","Dec-1983","PC","Percentage","0","Units",,,9.4586868,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-01","Jan-1984","PC","Percentage","0","Units",,,9.5001145,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-02","Feb-1984","PC","Percentage","0","Units",,,9.3866574,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-03","Mar-1984","PC","Percentage","0","Units",,,9.2092977,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-04","Apr-1984","PC","Percentage","0","Units",,,9.3715994,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-05","May-1984","PC","Percentage","0","Units",,,8.9376981,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-06","Jun-1984","PC","Percentage","0","Units",,,9.0963204,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-07","Jul-1984","PC","Percentage","0","Units",,,8.9085728,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-08","Aug-1984","PC","Percentage","0","Units",,,8.8298003,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-09","Sep-1984","PC","Percentage","0","Units",,,8.7361327,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-10","Oct-1984","PC","Percentage","0","Units",,,8.6962973,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-11","Nov-1984","PC","Percentage","0","Units",,,8.6799538,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1984-12","Dec-1984","PC","Percentage","0","Units",,,8.5207157,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-01","Jan-1985","PC","Percentage","0","Units",,,8.5509121,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-02","Feb-1985","PC","Percentage","0","Units",,,8.3902617,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-03","Mar-1985","PC","Percentage","0","Units",,,8.666848,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-04","Apr-1985","PC","Percentage","0","Units",,,8.403652,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-05","May-1985","PC","Percentage","0","Units",,,8.3770476,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-06","Jun-1985","PC","Percentage","0","Units",,,8.5713705,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-07","Jul-1985","PC","Percentage","0","Units",,,8.2989318,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-08","Aug-1985","PC","Percentage","0","Units",,,8.1567077,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-09","Sep-1985","PC","Percentage","0","Units",,,8.0585293,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-10","Oct-1985","PC","Percentage","0","Units",,,7.8492062,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-11","Nov-1985","PC","Percentage","0","Units",,,7.9511026,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1985-12","Dec-1985","PC","Percentage","0","Units",,,7.7855253,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-01","Jan-1986","PC","Percentage","0","Units",,,7.8057746,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-02","Feb-1986","PC","Percentage","0","Units",,,8.0037541,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","1986-03","Mar-1986","PC","Percentage","0","Units",,,7.9293599,,
